CASE_NUMBER,INSPECTOR,SERVICE_MANAGER,OPENDATE,CLOSEDATE,CASESTATUS,PROGRAM,DISPOSITION,gx_location,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,UNIT_NUMBER,ZIP,CENSUS_TRACT,APN,CASE_DESC
201422420.000,Joseph Hatfield,Rachel Roberts   120E,11/04/2014,,OPEN,General,Under Investigation,"1266   HICKERSON CT, SAN JOSE CA 95127-4312",1266,,HICKERSON,CT,,95127-4312,5042.02,61262025,"REMODELING BATHROOM , WINDOWS, TAKE DOWN WALLS 35 LIGHTS AND IN REMODELED ENTIRE 2ND FLR NO PERMITS"
201422427.000,Sharon Yamzon,Rachel Roberts   120E,11/04/2014,12/04/2014,CLOSED,General,In compliance,"1406   MCQUESTEN DR C, SAN JOSE CA 95122-4107",1406,,MCQUESTEN,DR,C,95122-4107,5031.10,47765085,INSTALLED SECURITY BARS ON WINDOWS W/O PERMITS
201422441.000,Jason Gibilisco,**  Not Assigned **,11/04/2014,,OPEN,General,Under Investigation,"422   SKYWAY DR, SAN JOSE CA 95111-2669",422,,SKYWAY,DR,,95111-2669,5120.17,68413008,"OCCUPIED GARAGE, SHED IN B/Y ELECTRICAL HOOK UPS TO SHED OVERCROWDING DUMPING LAUNDRY WATER FROM SIDE OF GARAGE."
201422447.000,Carolyn Slezak,Rachel Roberts   120E,11/04/2014,,OPEN,General,Under Investigation,"4952   MOORPARK AV, SAN JOSE CA 95129-2133",4952,,MOORPARK,AV,,95129-2133,5062.04,38145036,BUILT AN EXTRA BATHROOM IN HOUSE WITHOUT PERMITS.
201422448.000,Rafles Warnars,Peter Nwokolo    063E,11/04/2014,,OPEN,CDBG,Under Investigation,"1169 E SANTA CLARA ST, SAN JOSE CA 95116-2334",1169,E,SANTA CLARA,ST,,95116-2334,5014.01,46710046,"MOLD BATHROOM, TERMITES, COCHROACHES,"
201422455.000,Oscar Carrillo,Rachel Roberts   120E,11/04/2014,11/21/2014,CLOSED,General,In compliance,"2983   HOSTETTER RD, SAN JOSE CA 95132-1716",2983,,HOSTETTER,RD,,95132-1716,5043.15,58628056,FENCE OVER 6 FT TALL FROM BACKYARD TO SIDEWALK OBSTRUCTING VIEW OF TRAFFIC
201422468.000,Jess Medina,Debbie Morales   101E,11/04/2014,11/05/2014,CLOSED,Multiple Family,In compliance,"722   RICHMOND AV, SAN JOSE CA",722,,RICHMOND,AV,,,5021.02,,BROKEN GAS MAIN/ METER REPAIR NO PERMITS***
201422492.000,Sharon Yamzon,Rachel Roberts   120E,11/04/2014,12/03/2014,CLOSED,General,In compliance,"277   STONEGATE CL, SAN JOSE CA 95110-3540",277,,STONEGATE,CL,,95110-3540,5031.21,43435074,"WATER LEAK FROM UPSTAIRS CONDO UNIT, CARPET WET AND MOLDY"
201422503.000,Larry Ng,Debbie Morales   101E,11/05/2014,11/19/2014,CLOSED,Multiple Family,No violations found,"1725   STOKES ST, SAN JOSE CA 95126-4707",1725,,STOKES,ST,,95126-4707,5022.01,28426012,#1 OCCUPIED CONVERTED GARAGE
201422504.000,William Gerry,Rachel Roberts   120E,11/05/2014,11/13/2014,CLOSED,General,Complaint Withdrawn,"481   ROYALE PARK DR, SAN JOSE CA 95136-2030",481,,ROYALE PARK,DR,,95136-2030,5120.19,46224050,BUILDING NEW GARAGE W/O PERMITS
201422508.000,Dylan Maver,Rachel Roberts   120E,11/05/2014,,OPEN,General,Under Investigation,"1621   LAMA WY, SAN JOSE CA 95118-1054",1621,,LAMA,WY,,95118-1054,5029.03,44704072,"LACK OF LANDSCAPING FULL KITCHEN REMODEL NO PERMIT,LARGE OPENING IN LOADBEARING WALL TO KITCHEN CUT,WINDO& DOOR TO KITCHEN REMOVED AND STUCCOED OVER,NO WINDOW OR DOOR IS IN THE KITCHEN NOW AT ALL,WALL HEATERS REMOVED GAS LINES LEFT IN WALLS AND SHEET ROCKED OVER,NO HEATERS IN HOUSE NOW, 2ND BATHROOM ADDED NO PERMIT,LARGE CONCRETTE PAD POURED IN FRONT YARD AND 7FT FENCE BUILT AROUND IT 7FT FENCE VIOLATES FENCING RESTRICTIONS FOR CORNER LOT NEEDS TO BE NO HIGHER THEN 3 FT"
201422510.000,Joe Celio,Rachel Roberts   120E,11/05/2014,,OPEN,General,Under Investigation,"1037   FAIRVIEW AV, SAN JOSE CA 95125-2527",1037,,FAIRVIEW,AV,,95125-2527,5025.00,43913009,REMOVED FIREPLACE ADDED A WINDOW WITHOUT PERMITS
201422573.000,Gwendolyn Lum-Duffy,Debbie Morales   101E,11/05/2014,11/19/2014,CLOSED,Multiple Family,Complaint Withdrawn,"1352   DUBERT LN, SAN JOSE CA 95122-2828",1352,,DUBERT,LN,,95122-2828,5031.11,47732163,"DIRTY CARPET, OUTLETS IN BATHROOM AND KITCHEN ARE NOT WORKING, ROACHES."
201422586.000,James Young,Rachel Roberts   120E,11/05/2014,11/17/2014,CLOSED,General,No violations found,"699 S 14TH ST, SAN JOSE CA 95112-2321",699,S,14TH,ST,,95112-2321,5016.00,47230022,BUILT A STRUCTURE IN THE BACK YARD WITHOUT PERMITS
201422594.000,Brigitte Marquis,Rachel Roberts   120E,11/05/2014,,OPEN,General,No violations found,"2964   FENWICK WY, SAN JOSE CA 95148-3407",2964,,FENWICK,WY,,95148-3407,5033.15,67319047,GARAGE CONVERTED AND OCCUPIEDADDED 11/12/14: RY STRUCTURE POSSIBLY BEING USED AS A LIVING SPACE.
201422596.000,Suttipong Faiwongjun,Debbie Morales   101E,11/04/2014,11/06/2014,CLOSED,Multiple Family,In compliance,"3163   WILLIAMSBURG DR, SAN JOSE CA 95117-3910",3163,,WILLIAMSBURG,DR,,95117-3910,5065.01,30502040,UNSECURED REFRIGERATOR
201422597.000,Joseph Hatfield,Rachel Roberts   120E,11/06/2014,,OPEN,General,Under Investigation,"10294   LYNDALE AV, ALUM ROCK CA 95127-3129",10294,,LYNDALE,AV,,95127-3129,5040.01,48430040,"PEOPLE LIVING GARAGE, ADDED ROOMS IN THE B/Y W/O PERMITS"
201422602.000,Joe Celio,Rachel Roberts   120E,11/06/2014,,OPEN,General,Under Investigation,"670   MYRTLE ST, SAN JOSE CA 95126-2409",670,,MYRTLE,ST,,95126-2409,5006.00,26108040,"REMODELING (ELECTRICAL, PLUMBING) WITHOUT PERMITS. HOUSE IS NOT STABLE IT IS LEANING AND CHIMNEY IS TILTED. HOUSE IS MADE MOSTLEY OF MORTAR AND HAS CRACKS ALL THROUGH IT. CONTRACTORS ARE ALL UNLICENSED USING VEHICLES WITH NO MARKINGS."
201422604.000,James Young,Rachel Roberts   120E,11/06/2014,,OPEN,General,Under Investigation,"915 S 2ND ST, SAN JOSE CA 95112-5826",915,S,2ND,ST,,95112-5826,5031.12,47216040,"ROACH, MICE, BED BUG INFESTATION.  LANDLORD WAS INFORMED 3 WKS AGO, HAS NOT DONE ANYTHING.  HOUSE IS SUB DIIVED INTO A 2 BDRM & 3 BDRM APT.  NO BLDG PERMITS FOUND."
201422621.000,Mike Tran,Rachel Roberts   120E,11/06/2014,,OPEN,General,Under Investigation,"1574   HIGATE DR, SAN JOSE CA 95122-1154",1574,,HIGATE,DR,,95122-1154,5035.06,48632054,GARAGE CONVERTED WITH KITCHEN
201422629.000,Roger Beaudoin,Debbie Morales   101E,11/06/2014,,OPEN,Multiple Family,Under Investigation,"2130   PARK AV, SAN JOSE CA 95126-1338",2130,,PARK,AV,,95126-1338,5052.03,23019032,BATHROOM CEILING LEAKS WHEN UPSTAIRS NEIGHBOR USES THE SHOWER.  CEILING IS WATER DAMAGED CAUSING MOLD SMELL.  TOILET SEAT IS BROKEN. WINDOW IN LIVING ROOM IS MISSING THE SCREEN AND NOT SECURE.
201422635.000,Steve Barnett,Debbie Morales   101E,11/06/2014,,OPEN,Multiple Family,Under Investigation,"617 S 9TH ST, SAN JOSE CA 95112-3755",617,S,9TH,ST,,95112-3755,5016.00,47224013,"#10- COCKROACHES, MOLD ON BATHROOM CEILING, EXHUAST FAN DOESNT WORK."
201422651.000,Sharon Yamzon,Rachel Roberts   120E,11/07/2014,11/20/2014,CLOSED,General,In compliance,"1270   BACCHUS DR, SAN JOSE CA 95122-2904",1270,,BACCHUS,DR,,95122-2904,5031.11,47740048,GARAGE IS OCCUPIED
201422659.000,Jason Gibilisco,**  Not Assigned **,11/07/2014,,OPEN,General,Under Investigation,"392   BLOSSOM HILL RD, SAN JOSE CA 95123-1601",392,,BLOSSOM HILL,RD,,95123-1601,5120.29,69224026,PEOPLE LIVING IN BACKYARD IN SHELTERS ENTERING THROUGH BROKEN FENCE. ADDED 11/10/14- VEGETATION NOT MAINTAINED BUILDING IN THE BACK YARD.
201422665.000,Jason Gibilisco,**  Not Assigned **,11/07/2014,,OPEN,General,Under Investigation,"5631   HERMA ST, SAN JOSE CA 95123-2030",5631,,HERMA,ST,,95123-2030,5120.29,69223017,"OVERCROWDING 17+, BACK YARD PATIO OCCUPIED, GARBAGE BAGS PILED IN THE FRONT AND SIDE YARDS CAUSING."
201422667.000,Joseph Hatfield,Rachel Roberts   120E,11/10/2014,,OPEN,General,Under Investigation,"10381   NANCY LN, ALUM ROCK CA 95127-3024",10381,,NANCY,LN,,95127-3024,5040.01,48424016,BUILT ADDITION TO BACK OF HOME
201422670.000,James Young,Rachel Roberts   120E,11/10/2014,11/17/2014,CLOSED,General,No violations found,"370 N 10TH ST, SAN JOSE CA 95112-3325",370,N,10TH,ST,,95112-3325,5012.00,24952071,ADDITION TO BACK OF HOME
